Код дилера;Сервисный код дилера;;;Код SAP площадки;;Контрагент;;Модель;Код модели;Год производства;Рабочий объем;Тип двигателя;Стоимость работ;;;;;;Стоимость запчастей;;;;;;Стоимость запчастей PL-2;;;Итого - ремонт;;;;;;Итого - PL-2 ремонт;;
RC506;01149;;;C40AF01149;;КлючАвто Люберцы;;Santa Fe;TM;2019 -;2.4;Бензиновый;;;;;;;;;;;;;;;;;;;;;;;;
RC506;01149;;;C40AF01149;;КлючАвто Люберцы;;Grand Santa Fe;NC;2012 - 2018;3.3;Бензиновый;7975,00;8735,00;7975,00;10635,00;7975,00;8735,00;10735,00;11335,00;10735,00;13330,00;10735,00;11335,00;10664,00;8588,00;9068,00;18710,00;20070,00;18710,00;23965,00;18710,00;20070,00;21299,00;16563,00;17803,00
RC506;01149;;;C40AF01149;;КлючАвто Люберцы;;Grand Santa Fe;NC;2012 - 2018;2.4 GDI;Бензиновый;;;;;;;;;;;;;;;;;;;;;;;;
RC506;01149;;;C40AF01149;;КлючАвто Люберцы;;Grand Santa Fe;NC;2012 - 2018;2.2;Дизельный;7975,00;10635,00;7975,00;10635,00;7975,00;10635,00;12039,00;15454,00;12039,00;15454,00;12039,00;15454,00;12363,20;9631,20;12363,20;20014,00;26089,00;20014,00;26089,00;20014,00;26089,00;22998,20;17606,20;22998,20
RC506;01149;;;C40AF01149;;КлючАвто Люберцы;;H1;TQ;2007 -;2.4;Бензиновый;7975,00;8735,00;7975,00;10635,00;7975,00;8735,00;8423,00;9023,00;8423,00;10918,00;8423,00;9023,00;8734,40;6738,40;7218,40;16398,00;17758,00;16398,00;21553,00;16398,00;17758,00;19369,40;14713,40;15953,40
RC506;01149;;;C40AF01149;;КлючАвто Люберцы;;H1;TQ;2007 -;2.5;Дизельный;7975,00;10635,00;7975,00;10635,00;7975,00;10635,00;12252,00;15329,00;12252,00;15329,00;12252,00;15329,00;12263,20;9801,60;12263,20;20227,00;25964,00;20227,00;25964,00;20227,00;25964,00;22898,20;17776,60;22898,20
RC369;01053;;;C40AF01053;;Техцентр Гранд Восток;;Solaris;HCR;2017 -;1.4;Бензиновый;3080,00;4180,00;3080,00;5280,00;3080,00;4180,00;6425,00;6755,00;6425,00;13315,00;6425,00;6755,00;10652,00;5140,00;5404,00;9505,00;10935,00;9505,00;18595,00;9505,00;10935,00;15932,00;8220,00;9584,00
RC369;01053;;;C40AF01053;;Техцентр Гранд Восток;;Solaris;HCR;2017 -;1.6;Бензиновый;3080,00;4180,00;3080,00;5280,00;3080,00;4180,00;6425,00;8715,00;6425,00;11345,00;6425,00;8715,00;9076,00;5140,00;6972,00;9505,00;12895,00;9505,00;16625,00;9505,00;12895,00;14356,00;8220,00;11152,00
RC369;01053;;;C40AF01053;;Техцентр Гранд Восток;;Solaris;RBR;2011 - 2016;1.4;Бензиновый;3080,00;4180,00;3080,00;5280,00;3080,00;4180,00;5345,00;7635,00;5345,00;9425,00;5345,00;7635,00;7540,00;4276,00;6108,00;8425,00;11815,00;8425,00;14705,00;8425,00;11815,00;12820,00;7356,00;10288,00
RC369;01053;;;C40AF01053;;Техцентр Гранд Восток;;Solaris;RBR;2011 - 2016;1.6;Бензиновый;3080,00;4180,00;3080,00;5280,00;3080,00;4180,00;5345,00;7635,00;5345,00;9425,00;5345,00;7635,00;7540,00;4276,00;6108,00;8425,00;11815,00;8425,00;14705,00;8425,00;11815,00;12820,00;7356,00;10288,00
RC369;01053;;;C40AF01053;;Техцентр Гранд Восток;;i30;Gde;2012 - 2017;1.4;Бензиновый;3080,00;4180,00;3080,00;5060,00;3080,00;4400,00;6740,00;9030,00;6740,00;10930,00;6970,00;9260,00;8744,00;5576,00;7408,00;9820,00;13210,00;9820,00;15990,00;10050,00;13660,00;13804,00;8656,00;11808,00
RC369;01053;;;C40AF01053;;Техцентр Гранд Восток;;i30;Gde;2012 - 2017;1.6;Бензиновый;3080,00;4180,00;3080,00;5060,00;3080,00;4400,00;6740,00;9030,00;6740,00;11110,00;6970,00;9260,00;8888,00;5576,00;7408,00;9820,00;13210,00;9820,00;16170,00;10050,00;13660,00;13948,00;8656,00;11808,00
RC369;01053;;;C40AF01053;;Техцентр Гранд Восток;;i30;PDe;2017 -;1.4;Бензиновый;3080,00;4180,00;3080,00;5060,00;3080,00;4400,00;8350,00;8680,00;8350,00;10730,00;8350,00;8680,00;8584,00;6680,00;6944,00;11430,00;12860,00;11430,00;15790,00;11430,00;13080,00;13644,00;9760,00;11344,00
RC369;01053;;;C40AF01053;;Техцентр Гранд Восток;;i30;PDe;2017 -;1.6;Бензиновый;3080,00;4180,00;3080,00;5060,00;3080,00;4400,00;7870,00;10160,00;7870,00;12830,00;7870,00;10160,00;10264,00;6296,00;8128,00;10950,00;14340,00;10950,00;17890,00;10950,00;14560,00;15324,00;9376,00;12528,00
RC369;01053;;;C40AF01053;;Техцентр Гранд Восток;;i30n;PDeN;2018 -;2.0;Бензиновый;3080,00;4180,00;3080,00;5060,00;3080,00;4400,00;7870,00;10160,00;7870,00;12830,00;7870,00;10160,00;10264,00;6296,00;8128,00;10950,00;14340,00;10950,00;17890,00;10950,00;14560,00;15324,00;9376,00;12528,00
RC369;01053;;;C40AF01053;;Техцентр Гранд Восток;;Elantra;MD;2011 - 2016;1.6;Бензиновый;3080,00;4180,00;3080,00;5060,00;3080,00;4400,00;6870,00;9160,00;6870,00;11270,00;6870,00;9160,00;8888,00;5576,00;7408,00;9950,00;13340,00;9950,00;16330,00;9950,00;13560,00;13948,00;8656,00;11808,00
RC369;01053;;;C40AF01053;;Техцентр Гранд Восток;;Elantra;MD;2011 - 2016;1.8;Бензиновый;3080,00;4180,00;3080,00;5060,00;3080,00;4400,00;6870,00;9160,00;6870,00;11270,00;6870,00;9160,00;8888,00;5576,00;7408,00;9950,00;13340,00;9950,00;16330,00;9950,00;13560,00;13948,00;8656,00;11808,00
