Код дилера;Сервисный код дилера;;;Код SAP площадки;;Контрагент;;Модель;Код модели;Год производства;Рабочий объем;Тип двигателя;Стоимость работ;;;;;;Стоимость запчастей;;;;;;Стоимость запчастей PL-2;;;Итого - ремонт;;;;;;Итого - PL-2 ремонт;;
RC178;00302;;;C40AF00302;;Сура-Моторс-сервис;;H1;TQ;2007 -;2.5;Дизельный;2210,00;2990,00;2210,00;3120,00;2210,00;3120,00;10182,76;13360,32;8963,67;12837,72;9659,86;12837,72;10912,06;8210,88;10912,06;12392,76;16350,32;11173,67;15957,72;11869,86;15957,72;14032,06;10420,88;14032,06
RC539;10233;;;C40AF10233;;Мега-Авто Портовая;;Solaris;HCR;2017 -;1.4;Бензиновый;3780,00;5130,00;3780,00;;3780,00;5130,00;5212,80;5662,80;5212,80;;5212,80;5662,80;;5212,80;5662,80;8992,80;10792,80;8992,80;;8992,80;10792,80;;8992,80;10792,80
RC539;10233;;;C40AF10233;;Мега-Авто Портовая;;Solaris;HCR;2017 -;1.6;Бензиновый;3780,00;5130,00;3780,00;6480,00;3780,00;5130,00;5300,00;7870,00;5300,00;10912,83;5300,00;8750,00;10912,83;5300,00;8750,00;9080,00;13000,00;9080,00;17392,83;9080,00;13880,00;17392,83;9080,00;13880,00
RC539;10233;;;C40AF10233;;Мега-Авто Портовая;;Solaris;RBR;2011 - 2016;1.4;Бензиновый;3780,00;5130,00;3780,00;6480,00;3780,00;5130,00;5200,00;7680,04;5200,00;10042,61;5200,00;7680,04;10042,61;5200,00;7680,04;8980,00;12810,04;8980,00;16522,61;8980,00;12810,04;16522,61;8980,00;12810,04
RC539;10233;;;C40AF10233;;Мега-Авто Портовая;;Solaris;RBR;2011 - 2016;1.6;Бензиновый;3780,00;5130,00;3780,00;6480,00;3780,00;5130,00;5200,00;7680,04;5200,00;10042,61;5200,00;7680,04;10042,61;5200,00;7680,04;8980,00;12810,04;8980,00;16522,61;8980,00;12810,04;16522,61;8980,00;12810,04
RC539;10233;;;C40AF10233;;Мега-Авто Портовая;;i30;Gde;2012 - 2017;1.4;Бензиновый;3780,00;5130,00;3780,00;6210,00;3780,00;5130,00;7259,65;9709,65;7259,65;11831,04;7259,65;9709,65;11831,04;7259,65;9709,65;11039,65;14839,65;11039,65;18041,04;11039,65;14839,65;18041,04;11039,65;14839,65
RC539;10233;;;C40AF10233;;Мега-Авто Портовая;;i30;Gde;2012 - 2017;1.6;Бензиновый;3780,00;5130,00;3780,00;6210,00;3780,00;5130,00;7259,65;9709,65;7259,65;11831,04;7259,65;9709,65;11831,04;7259,65;9709,65;11039,65;14839,65;11039,65;18041,04;11039,65;14839,65;18041,04;11039,65;14839,65
RC539;10233;;;C40AF10233;;Мега-Авто Портовая;;i30;PDe;2017 -;1.4;Бензиновый;;;;;;;;;;;;;;;;;;;;;;;;
RC539;10233;;;C40AF10233;;Мега-Авто Портовая;;i30;PDe;2017 -;1.6;Бензиновый;;;;;;;;;;;;;;;;;;;;;;;;
RC539;10233;;;C40AF10233;;Мега-Авто Портовая;;i30n;PDeN;2018 -;2.0;Бензиновый;;;;;;;;;;;;;;;;;;;;;;;;
RC539;10233;;;C40AF10233;;Мега-Авто Портовая;;Elantra;MD;2011 - 2016;1.6;Бензиновый;3780,00;5130,00;3780,00;6210,00;3780,00;5130,00;7042,65;9438,65;7042,65;11527,23;7042,65;9438,65;11527,23;7042,65;9438,65;10822,65;14568,65;10822,65;17737,23;10822,65;14568,65;17737,23;10822,65;14568,65
RC539;10233;;;C40AF10233;;Мега-Авто Портовая;;Elantra;MD;2011 - 2016;1.8;Бензиновый;3780,00;5130,00;3780,00;6210,00;3780,00;5130,00;7392,65;9788,65;7392,65;11877,23;7392,65;9788,65;11877,23;7392,65;9788,65;11172,65;14918,65;11172,65;18087,23;11172,65;14918,65;18087,23;11172,65;14918,65
RC539;10233;;;C40AF10233;;Мега-Авто Портовая;;Elantra;AD;2016 -;1.6;Бензиновый;3780,00;5130,00;3780,00;6210,00;3780,00;5130,00;6470,28;8866,28;6470,28;12663,12;6470,28;8866,28;12663,12;6470,28;8866,28;10250,28;13996,28;10250,28;18873,12;10250,28;13996,28;18873,12;10250,28;13996,28
RC539;10233;;;C40AF10233;;Мега-Авто Портовая;;Elantra;AD;2016 -;2.0;Бензиновый;3780,00;5130,00;3780,00;6210,00;3780,00;5130,00;8887,28;7885,28;8887,28;12448,12;8887,28;7885,28;12448,12;8887,28;7885,28;12667,28;13015,28;12667,28;18658,12;12667,28;13015,28;18658,12;12667,28;13015,28
RC539;10233;;;C40AF10233;;Мега-Авто Портовая;;Veloster;FS;2011 - 2016;1.6;Бензиновый;3780,00;5130,00;3780,00;6210,00;3780,00;5130,00;6064,84;8460,84;6064,84;10549,42;5539,84;8460,84;10549,42;5539,84;8460,84;9844,84;13590,84;9844,84;16759,42;9319,84;13590,84;16759,42;9319,84;13590,84
RC539;10233;;;C40AF10233;;Мега-Авто Портовая;;Veloster;FS;2011 - 2016;1.6T GDI;Бензиновый;3780,00;5130,00;3780,00;6210,00;3780,00;5130,00;5719,84;8115,84;5719,84;10296,58;5719,84;8115,84;10296,58;5719,84;8115,84;9499,84;13245,84;9499,84;16506,58;9499,84;13245,84;16506,58;9499,84;13245,84
RC539;10233;;;C40AF10233;;Мега-Авто Портовая;;Sonata;LF;2017 - 2019;2.0;Бензиновый;3780,00;5130,00;3780,00;6210,00;3780,00;5130,00;7035,00;7435,00;7035,00;11231,81;7035,00;7435,00;11231,81;7035,00;7435,00;10815,00;12565,00;10815,00;17441,81;10815,00;12565,00;17441,81;10815,00;12565,00
RC539;10233;;;C40AF10233;;Мега-Авто Портовая;;Sonata;LF;2017 - 2019;2.4 GDi;Бензиновый;3780,00;5130,00;3780,00;6210,00;3780,00;5130,00;7385,00;7785,00;7385,00;11148,78;7385,00;7785,00;11148,78;7385,00;7785,00;11165,00;12915,00;11165,00;17358,78;11165,00;12915,00;17358,78;11165,00;12915,00
RC539;10233;;;C40AF10233;;Мега-Авто Портовая;;Sonata;DN8;2020 -;2.0;Бензиновый;3780,00;5130,00;4590,00;6480,00;3780,00;5130,00;7134,00;7534,00;7134,00;10131,00;7134,00;7534,00;10131,00;7134,00;7534,00;10914,00;12664,00;11724,00;16611,00;10914,00;12664,00;16611,00;10914,00;12664,00
RC539;10233;;;C40AF10233;;Мега-Авто Портовая;;Sonata;DN8;2020 -;2.5;Бензиновый;3780,00;5130,00;3780,00;6210,00;3780,00;5130,00;7134,00;7534,00;7134,00;10131,00;7134,00;7534,00;10131,00;7134,00;7534,00;10914,00;12664,00;10914,00;16341,00;10914,00;12664,00;16341,00;10914,00;12664,00
RC539;10233;;;C40AF10233;;Мега-Авто Портовая;;i40;VF;2011 - 2017;1.6;Бензиновый;3780,00;5130,00;3780,00;6210,00;3780,00;5130,00;6881,02;11205,26;6881,02;15823,63;6881,02;11205,26;15823,63;6881,02;11205,26;10661,02;16335,26;10661,02;22033,63;10661,02;16335,26;22033,63;10661,02;16335,26
RC539;10233;;;C40AF10233;;Мега-Авто Портовая;;i40;VF;2011 - 2017;2.0;Бензиновый;3780,00;5130,00;3780,00;6210,00;3780,00;5130,00;6876,02;7726,02;6876,02;9860,60;6876,02;7726,02;9860,60;6876,02;7726,02;10656,02;12856,02;10656,02;16070,60;10656,02;12856,02;16070,60;10656,02;12856,02
RC539;10233;;;C40AF10233;;Мега-Авто Портовая;;i40;VF;2011 - 2017;1.7;Дизельный;3780,00;5130,00;3780,00;5130,00;3780,00;5130,00;8253,18;11281,36;8253,18;11281,36;8253,18;11281,36;11281,36;8253,18;11281,36;12033,18;16411,36;12033,18;16411,36;12033,18;16411,36;16411,36;12033,18;16411,36
RC539;10233;;;C40AF10233;;Мега-Авто Портовая;;Creta;GSr;2016 -;1.6;Бензиновый;4590,00;6210,00;4590,00;7290,00;4590,00;6210,00;6050,00;10050,00;6050,00;11461,74;6050,00;10050,00;11461,74;6050,00;10050,00;10640,00;16260,00;10640,00;18751,74;10640,00;16260,00;18751,74;10640,00;16260,00
RC539;10233;;;C40AF10233;;Мега-Авто Портовая;;Creta;GSr;2016 -;2.0;Бензиновый;4590,00;6210,00;4590,00;7290,00;4590,00;6210,00;6450,00;7250,00;6450,00;9949,74;6450,00;7250,00;9949,74;6450,00;7250,00;11040,00;13460,00;11040,00;17239,74;11040,00;13460,00;17239,74;11040,00;13460,00
RC539;10233;;;C40AF10233;;Мега-Авто Портовая;;ix35;Ele;2010 - 2015;2.0;Бензиновый;4590,00;6210,00;4590,00;7290,00;4590,00;6210,00;7023,64;10096,88;7423,64;13628,15;7423,64;10096,88;13628,15;7423,64;10096,88;11613,64;16306,88;12013,64;20918,15;12013,64;16306,88;20918,15;12013,64;16306,88
RC539;10233;;;C40AF10233;;Мега-Авто Портовая;;ix35;Ele;2010 - 2015;2.0;Дизельный;4590,00;6210,00;4590,00;6210,00;4590,00;6210,00;10573,60;13450,64;10573,60;13450,64;10573,60;13450,64;13450,64;10573,60;13450,64;15163,60;19660,64;15163,60;19660,64;15163,60;19660,64;19660,64;15163,60;19660,64
RC539;10233;;;C40AF10233;;Мега-Авто Портовая;;Tucson;TLe;2015 -;2.0;Бензиновый;4590,00;6210,00;4590,00;7290,00;4590,00;6210,00;6801,00;7601,00;6801,00;13672,76;6801,00;7601,00;13672,76;6801,00;7601,00;11391,00;13811,00;11391,00;20962,76;11391,00;13811,00;20962,76;11391,00;13811,00
RC539;10233;;;C40AF10233;;Мега-Авто Портовая;;Tucson;TLe;2015 -;1.6T GDI;Бензиновый;4590,00;6210,00;4590,00;7290,00;4590,00;6210,00;7901,00;8301,00;7901,00;13597,77;7901,00;8301,00;13597,77;7901,00;8301,00;12491,00;14511,00;12491,00;20887,77;12491,00;14511,00;20887,77;12491,00;14511,00
RC539;10233;;;C40AF10233;;Мега-Авто Портовая;;Tucson;TLe;2015 -;2.0;Дизельный;4590,00;6210,00;4590,00;6210,00;4590,00;6210,00;10405,24;16382,52;10405,24;16682,52;10405,24;16382,52;16682,52;10405,24;16382,52;14995,24;22592,52;14995,24;22892,52;14995,24;22592,52;22892,52;14995,24;22592,52
RC539;10233;;;C40AF10233;;Мега-Авто Портовая;;Tucson;TLe;2015 -;2.4;Бензиновый;;;;;;;;;;;;;;;;;;;;;;;;
RC539;10233;;;C40AF10233;;Мега-Авто Портовая;;Santa Fe;CM;2006 - 2012;2.4;Бензиновый;4590,00;6210,00;4590,00;7290,00;4590,00;6210,00;5345,19;5345,19;5880,37;10503,36;5880,37;5880,37;10503,36;5880,37;5880,37;9935,19;11555,19;10470,37;17793,36;10470,37;12090,37;17793,36;10470,37;12090,37
RC539;10233;;;C40AF10233;;Мега-Авто Портовая;;Santa Fe;CM;2006 - 2012;2.2;Дизельный;4590,00;6210,00;4590,00;6210,00;4590,00;6210,00;8789,52;11666,56;8789,52;11666,56;8789,52;11266,56;11666,56;8789,52;11266,56;13379,52;17876,56;13379,52;17876,56;13379,52;17476,56;17876,56;13379,52;17476,56
RC539;10233;;;C40AF10233;;Мега-Авто Портовая;;Santa Fe;DM;2012 - 2018;2.4;Бензиновый;4590,00;6210,00;4590,00;7290,00;4590,00;6210,00;8353,61;9153,61;8353,61;11376,14;8353,61;9273,61;11376,14;8353,61;9273,61;12943,61;15363,61;12943,61;18666,14;12943,61;15483,61;18666,14;12943,61;15483,61
RC539;10233;;;C40AF10233;;Мега-Авто Портовая;;Santa Fe;DM;2012 - 2018;2.2;Дизельный;4590,00;6210,00;4590,00;6210,00;4590,00;6210,00;10242,57;13629,12;10242,57;13629,12;10242,57;13629,12;13629,12;10242,57;13629,12;14832,57;19839,12;14832,57;19839,12;14832,57;19839,12;19839,12;14832,57;19839,12
RC539;10233;;;C40AF10233;;Мега-Авто Портовая;;Santa Fe;TM;2019 -;3.5;Бензиновый;;;;;;;;;;;;;;;;;;;;;;;;
RC539;10233;;;C40AF10233;;Мега-Авто Портовая;;Santa Fe;TM;2019 -;2.2;Дизельный;4590,00;6210,00;4590,00;6210,00;4590,00;6210,00;10839,03;16070,97;10839,03;17575,70;10839,03;17575,70;17575,70;10839,03;17575,70;15429,03;22280,97;15429,03;23785,70;15429,03;23785,70;23785,70;15429,03;23785,70
RC539;10233;;;C40AF10233;;Мега-Авто Портовая;;Santa Fe;TM;2019 -;2.4;Бензиновый;;;;;;;;;;;;;;;;;;;;;;;;
RC539;10233;;;C40AF10233;;Мега-Авто Портовая;;Grand Santa Fe;NC;2012 - 2018;3.3;Бензиновый;4590,00;6210,00;4590,00;7290,00;4590,00;6210,00;9065,29;9465,29;9065,29;11460,07;9065,29;9465,29;11460,07;9065,29;9465,29;13655,29;15675,29;13655,29;18750,07;13655,29;15675,29;18750,07;13655,29;15675,29
RC539;10233;;;C40AF10233;;Мега-Авто Портовая;;Grand Santa Fe;NC;2012 - 2018;2.4 GDI;Бензиновый;4590,00;6210,00;4590,00;7290,00;4590,00;6210,00;8479,00;14807,00;8479,00;20656,28;8479,00;14807,00;20656,28;8479,00;14807,00;13069,00;21017,00;13069,00;27946,28;13069,00;21017,00;27946,28;13069,00;21017,00
RC539;10233;;;C40AF10233;;Мега-Авто Портовая;;Grand Santa Fe;NC;2012 - 2018;2.2;Дизельный;4590,00;6210,00;4590,00;6210,00;4590,00;6210,00;9902,57;13317,12;10102,57;13317,12;10102,57;13317,12;13317,12;10102,57;13317,12;14492,57;19527,12;14692,57;19527,12;14692,57;19527,12;19527,12;14692,57;19527,12
RC539;10233;;;C40AF10233;;Мега-Авто Портовая;;H1;TQ;2007 -;2.4;Бензиновый;4590,00;6210,00;4590,00;7290,00;4590,00;6210,00;7385,13;11325,85;7265,13;13591,24;7385,13;11525,85;13591,24;7385,13;11525,85;11975,13;17535,85;11855,13;20881,24;11975,13;17735,85;20881,24;11975,13;17735,85
RC539;10233;;;C40AF10233;;Мега-Авто Портовая;;H1;TQ;2007 -;2.5;Дизельный;4590,00;6210,00;4590,00;6210,00;4590,00;6210,00;11108,13;13985,17;11108,13;13985,17;11108,13;14229,99;13985,17;11108,13;14229,99;15698,13;20195,17;15698,13;20195,17;15698,13;20439,99;20195,17;15698,13;20439,99
RC538;00233;;;C40AF00233;;Мега-Авто Бухарестская;;Solaris;HCR;2017 -;1.4;Бензиновый;3780,00;5130,00;3780,00;;3780,00;5130,00;5212,80;5662,80;5212,80;;5212,80;5662,80;;5212,80;5662,80;8992,80;10792,80;8992,80;;8992,80;10792,80;;8992,80;10792,80
RC538;00233;;;C40AF00233;;Мега-Авто Бухарестская;;Solaris;HCR;2017 -;1.6;Бензиновый;3780,00;5130,00;3780,00;6480,00;3780,00;5130,00;5300,00;7870,00;5300,00;10912,83;5300,00;8750,00;10912,83;5300,00;8750,00;9080,00;13000,00;9080,00;17392,83;9080,00;13880,00;17392,83;9080,00;13880,00
RC538;00233;;;C40AF00233;;Мега-Авто Бухарестская;;Solaris;RBR;2011 - 2016;1.4;Бензиновый;3780,00;5130,00;3780,00;6480,00;3780,00;5130,00;5200,00;7680,04;5200,00;10042,61;5200,00;7680,04;10042,61;5200,00;7680,04;8980,00;12810,04;8980,00;16522,61;8980,00;12810,04;16522,61;8980,00;12810,04
RC538;00233;;;C40AF00233;;Мега-Авто Бухарестская;;Solaris;RBR;2011 - 2016;1.6;Бензиновый;3780,00;5130,00;3780,00;6480,00;3780,00;5130,00;5200,00;7680,04;5200,00;10042,61;5200,00;7680,04;10042,61;5200,00;7680,04;8980,00;12810,04;8980,00;16522,61;8980,00;12810,04;16522,61;8980,00;12810,04
RC538;00233;;;C40AF00233;;Мега-Авто Бухарестская;;i30;Gde;2012 - 2017;1.4;Бензиновый;3780,00;5130,00;3780,00;6210,00;3780,00;5130,00;7259,65;9709,65;7259,65;11831,04;7259,65;9709,65;11831,04;7259,65;9709,65;11039,65;14839,65;11039,65;18041,04;11039,65;14839,65;18041,04;11039,65;14839,65
RC538;00233;;;C40AF00233;;Мега-Авто Бухарестская;;i30;Gde;2012 - 2017;1.6;Бензиновый;3780,00;5130,00;3780,00;6210,00;3780,00;5130,00;7259,65;9709,65;7259,65;11831,04;7259,65;9709,65;11831,04;7259,65;9709,65;11039,65;14839,65;11039,65;18041,04;11039,65;14839,65;18041,04;11039,65;14839,65
RC538;00233;;;C40AF00233;;Мега-Авто Бухарестская;;i30;PDe;2017 -;1.4;Бензиновый;;;;;;;;;;;;;;;;;;;;;;;;
RC538;00233;;;C40AF00233;;Мега-Авто Бухарестская;;i30;PDe;2017 -;1.6;Бензиновый;;;;;;;;;;;;;;;;;;;;;;;;
RC538;00233;;;C40AF00233;;Мега-Авто Бухарестская;;i30n;PDeN;2018 -;2.0;Бензиновый;;;;;;;;;;;;;;;;;;;;;;;;
RC538;00233;;;C40AF00233;;Мега-Авто Бухарестская;;Elantra;MD;2011 - 2016;1.6;Бензиновый;3780,00;5130,00;3780,00;6210,00;3780,00;5130,00;7042,65;9438,65;7042,65;11527,23;7042,65;9438,65;11527,23;7042,65;9438,65;10822,65;14568,65;10822,65;17737,23;10822,65;14568,65;17737,23;10822,65;14568,65
RC538;00233;;;C40AF00233;;Мега-Авто Бухарестская;;Elantra;MD;2011 - 2016;1.8;Бензиновый;3780,00;5130,00;3780,00;6210,00;3780,00;5130,00;7392,65;9788,65;7392,65;11877,23;7392,65;9788,65;11877,23;7392,65;9788,65;11172,65;14918,65;11172,65;18087,23;11172,65;14918,65;18087,23;11172,65;14918,65
RC538;00233;;;C40AF00233;;Мега-Авто Бухарестская;;Elantra;AD;2016 -;1.6;Бензиновый;3780,00;5130,00;3780,00;6210,00;3780,00;5130,00;6470,28;8866,28;6470,28;12663,12;6470,28;8866,28;12663,12;6470,28;8866,28;10250,28;13996,28;10250,28;18873,12;10250,28;13996,28;18873,12;10250,28;13996,28
RC538;00233;;;C40AF00233;;Мега-Авто Бухарестская;;Elantra;AD;2016 -;2.0;Бензиновый;3780,00;5130,00;3780,00;6210,00;3780,00;5130,00;8887,28;7885,28;8887,28;12448,12;8887,28;7885,28;12448,12;8887,28;7885,28;12667,28;13015,28;12667,28;18658,12;12667,28;13015,28;18658,12;12667,28;13015,28
RC538;00233;;;C40AF00233;;Мега-Авто Бухарестская;;Veloster;FS;2011 - 2016;1.6;Бензиновый;3780,00;5130,00;3780,00;6210,00;3780,00;5130,00;6064,84;8460,84;6064,84;10549,42;5539,84;8460,84;10549,42;5539,84;8460,84;9844,84;13590,84;9844,84;16759,42;9319,84;13590,84;16759,42;9319,84;13590,84
RC538;00233;;;C40AF00233;;Мега-Авто Бухарестская;;Veloster;FS;2011 - 2016;1.6T GDI;Бензиновый;3780,00;5130,00;3780,00;6210,00;3780,00;5130,00;5719,84;8115,84;5719,84;10296,58;5719,84;8115,84;10296,58;5719,84;8115,84;9499,84;13245,84;9499,84;16506,58;9499,84;13245,84;16506,58;9499,84;13245,84
RC538;00233;;;C40AF00233;;Мега-Авто Бухарестская;;Sonata;LF;2017 - 2019;2.0;Бензиновый;3780,00;5130,00;3780,00;6210,00;3780,00;5130,00;7035,00;7435,00;7035,00;11231,81;7035,00;7435,00;11231,81;7035,00;7435,00;10815,00;12565,00;10815,00;17441,81;10815,00;12565,00;17441,81;10815,00;12565,00
RC538;00233;;;C40AF00233;;Мега-Авто Бухарестская;;Sonata;LF;2017 - 2019;2.4 GDi;Бензиновый;3780,00;5130,00;3780,00;6210,00;3780,00;5130,00;7385,00;7785,00;7385,00;11148,78;7385,00;7785,00;11148,78;7385,00;7785,00;11165,00;12915,00;11165,00;17358,78;11165,00;12915,00;17358,78;11165,00;12915,00
RC538;00233;;;C40AF00233;;Мега-Авто Бухарестская;;Sonata;DN8;2020 -;2.0;Бензиновый;3780,00;5130,00;4590,00;6480,00;3780,00;5130,00;7134,00;7534,00;7134,00;10131,00;7134,00;7534,00;10131,00;7134,00;7534,00;10914,00;12664,00;11724,00;16611,00;10914,00;12664,00;16611,00;10914,00;12664,00
RC538;00233;;;C40AF00233;;Мега-Авто Бухарестская;;Sonata;DN8;2020 -;2.5;Бензиновый;3780,00;5130,00;3780,00;6210,00;3780,00;5130,00;7134,00;7534,00;7134,00;10131,00;7134,00;7534,00;10131,00;7134,00;7534,00;10914,00;12664,00;10914,00;16341,00;10914,00;12664,00;16341,00;10914,00;12664,00
RC538;00233;;;C40AF00233;;Мега-Авто Бухарестская;;i40;VF;2011 - 2017;1.6;Бензиновый;3780,00;5130,00;3780,00;6210,00;3780,00;5130,00;6881,02;11205,26;6881,02;15823,63;6881,02;11205,26;15823,63;6881,02;11205,26;10661,02;16335,26;10661,02;22033,63;10661,02;16335,26;22033,63;10661,02;16335,26
RC538;00233;;;C40AF00233;;Мега-Авто Бухарестская;;i40;VF;2011 - 2017;2.0;Бензиновый;3780,00;5130,00;3780,00;6210,00;3780,00;5130,00;6876,02;7726,02;6876,02;9860,60;6876,02;7726,02;9860,60;6876,02;7726,02;10656,02;12856,02;10656,02;16070,60;10656,02;12856,02;16070,60;10656,02;12856,02
RC538;00233;;;C40AF00233;;Мега-Авто Бухарестская;;i40;VF;2011 - 2017;1.7;Дизельный;3780,00;5130,00;3780,00;5130,00;3780,00;5130,00;8253,18;11281,36;8253,18;11281,36;8253,18;11281,36;11281,36;8253,18;11281,36;12033,18;16411,36;12033,18;16411,36;12033,18;16411,36;16411,36;12033,18;16411,36
RC538;00233;;;C40AF00233;;Мега-Авто Бухарестская;;Creta;GSr;2016 -;1.6;Бензиновый;4590,00;6210,00;4590,00;7290,00;4590,00;6210,00;6050,00;10050,00;6050,00;11461,74;6050,00;10050,00;11461,74;6050,00;10050,00;10640,00;16260,00;10640,00;18751,74;10640,00;16260,00;18751,74;10640,00;16260,00
RC538;00233;;;C40AF00233;;Мега-Авто Бухарестская;;Creta;GSr;2016 -;2.0;Бензиновый;4590,00;6210,00;4590,00;7290,00;4590,00;6210,00;6450,00;7250,00;6450,00;9949,74;6450,00;7250,00;9949,74;6450,00;7250,00;11040,00;13460,00;11040,00;17239,74;11040,00;13460,00;17239,74;11040,00;13460,00
RC538;00233;;;C40AF00233;;Мега-Авто Бухарестская;;ix35;Ele;2010 - 2015;2.0;Бензиновый;4590,00;6210,00;4590,00;7290,00;4590,00;6210,00;7023,64;10096,88;7423,64;13628,15;7423,64;10096,88;13628,15;7423,64;10096,88;11613,64;16306,88;12013,64;20918,15;12013,64;16306,88;20918,15;12013,64;16306,88
RC538;00233;;;C40AF00233;;Мега-Авто Бухарестская;;ix35;Ele;2010 - 2015;2.0;Дизельный;4590,00;6210,00;4590,00;6210,00;4590,00;6210,00;10573,60;13450,64;10573,60;13450,64;10573,60;13450,64;13450,64;10573,60;13450,64;15163,60;19660,64;15163,60;19660,64;15163,60;19660,64;19660,64;15163,60;19660,64
RC538;00233;;;C40AF00233;;Мега-Авто Бухарестская;;Tucson;TLe;2015 -;2.0;Бензиновый;4590,00;6210,00;4590,00;7290,00;4590,00;6210,00;6801,00;7601,00;6801,00;13672,76;6801,00;7601,00;13672,76;6801,00;7601,00;11391,00;13811,00;11391,00;20962,76;11391,00;13811,00;20962,76;11391,00;13811,00
RC538;00233;;;C40AF00233;;Мега-Авто Бухарестская;;Tucson;TLe;2015 -;1.6T GDI;Бензиновый;4590,00;6210,00;4590,00;7290,00;4590,00;6210,00;7901,00;8301,00;7901,00;13597,77;7901,00;8301,00;13597,77;7901,00;8301,00;12491,00;14511,00;12491,00;20887,77;12491,00;14511,00;20887,77;12491,00;14511,00
RC538;00233;;;C40AF00233;;Мега-Авто Бухарестская;;Tucson;TLe;2015 -;2.0;Дизельный;4590,00;6210,00;4590,00;6210,00;4590,00;6210,00;10405,24;16382,52;10405,24;16682,52;10405,24;16382,52;16682,52;10405,24;16382,52;14995,24;22592,52;14995,24;22892,52;14995,24;22592,52;22892,52;14995,24;22592,52
RC538;00233;;;C40AF00233;;Мега-Авто Бухарестская;;Tucson;TLe;2015 -;2.4;Бензиновый;;;;;;;;;;;;;;;;;;;;;;;;
RC538;00233;;;C40AF00233;;Мега-Авто Бухарестская;;Santa Fe;CM;2006 - 2012;2.4;Бензиновый;4590,00;6210,00;4590,00;7290,00;4590,00;6210,00;5345,19;5345,19;5880,37;10503,36;5880,37;5880,37;10503,36;5880,37;5880,37;9935,19;11555,19;10470,37;17793,36;10470,37;12090,37;17793,36;10470,37;12090,37
RC538;00233;;;C40AF00233;;Мега-Авто Бухарестская;;Santa Fe;CM;2006 - 2012;2.2;Дизельный;4590,00;6210,00;4590,00;6210,00;4590,00;6210,00;8789,52;11666,56;8789,52;11666,56;8789,52;11266,56;11666,56;8789,52;11266,56;13379,52;17876,56;13379,52;17876,56;13379,52;17476,56;17876,56;13379,52;17476,56
RC538;00233;;;C40AF00233;;Мега-Авто Бухарестская;;Santa Fe;DM;2012 - 2018;2.4;Бензиновый;4590,00;6210,00;4590,00;7290,00;4590,00;6210,00;8353,61;9153,61;8353,61;11376,14;8353,61;9273,61;11376,14;8353,61;9273,61;12943,61;15363,61;12943,61;18666,14;12943,61;15483,61;18666,14;12943,61;15483,61
RC538;00233;;;C40AF00233;;Мега-Авто Бухарестская;;Santa Fe;DM;2012 - 2018;2.2;Дизельный;4590,00;6210,00;4590,00;6210,00;4590,00;6210,00;10242,57;13629,12;10242,57;13629,12;10242,57;13629,12;13629,12;10242,57;13629,12;14832,57;19839,12;14832,57;19839,12;14832,57;19839,12;19839,12;14832,57;19839,12
RC538;00233;;;C40AF00233;;Мега-Авто Бухарестская;;Santa Fe;TM;2019 -;3.5;Бензиновый;;;;;;;;;;;;;;;;;;;;;;;;
RC538;00233;;;C40AF00233;;Мега-Авто Бухарестская;;Santa Fe;TM;2019 -;2.2;Дизельный;4590,00;6210,00;4590,00;6210,00;4590,00;6210,00;10839,03;16070,97;10839,03;17575,70;10839,03;17575,70;17575,70;10839,03;17575,70;15429,03;22280,97;15429,03;23785,70;15429,03;23785,70;23785,70;15429,03;23785,70
RC538;00233;;;C40AF00233;;Мега-Авто Бухарестская;;Santa Fe;TM;2019 -;2.4;Бензиновый;;;;;;;;;;;;;;;;;;;;;;;;
RC538;00233;;;C40AF00233;;Мега-Авто Бухарестская;;Grand Santa Fe;NC;2012 - 2018;3.3;Бензиновый;4590,00;6210,00;4590,00;7290,00;4590,00;6210,00;9065,29;9465,29;9065,29;11460,07;9065,29;9465,29;11460,07;9065,29;9465,29;13655,29;15675,29;13655,29;18750,07;13655,29;15675,29;18750,07;13655,29;15675,29
RC538;00233;;;C40AF00233;;Мега-Авто Бухарестская;;Grand Santa Fe;NC;2012 - 2018;2.4 GDI;Бензиновый;4590,00;6210,00;4590,00;7290,00;4590,00;6210,00;8479,00;14807,00;8479,00;20656,28;8479,00;14807,00;20656,28;8479,00;14807,00;13069,00;21017,00;13069,00;27946,28;13069,00;21017,00;27946,28;13069,00;21017,00
RC538;00233;;;C40AF00233;;Мега-Авто Бухарестская;;Grand Santa Fe;NC;2012 - 2018;2.2;Дизельный;4590,00;6210,00;4590,00;6210,00;4590,00;6210,00;9902,57;13317,12;10102,57;13317,12;10102,57;13317,12;13317,12;10102,57;13317,12;14492,57;19527,12;14692,57;19527,12;14692,57;19527,12;19527,12;14692,57;19527,12
RC538;00233;;;C40AF00233;;Мега-Авто Бухарестская;;H1;TQ;2007 -;2.4;Бензиновый;4590,00;6210,00;4590,00;7290,00;4590,00;6210,00;7385,13;11325,85;7265,13;13591,24;7385,13;11525,85;13591,24;7385,13;11525,85;11975,13;17535,85;11855,13;20881,24;11975,13;17735,85;20881,24;11975,13;17735,85
